id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000196159.10	19.361338	-3.351546631	0.634838874	-5.279365782	1.30E-07	4.15E-06
ENSG00000214944.8	7.5385794	-3.349415124	1.305844127	-2.564942518	0.01031929	0.048906095
ENSG00000182508.12	4.294845219	-3.345880038	1.428192476	-2.342737478	0.019142847	0.077088412
ENSG00000235728.1	2.620194302	-3.343280528	1.3948638	-2.396850882	0.016536652	0.069190683
ENSG00000201348.1	5.395355922	-3.341392895	1.091383569	-3.061611873	0.002201487	0.015057892
ENSG00000137204.13	5.36787655	-3.338028037	1.161909944	-2.872880169	0.004067484	0.024082876
ENSG00000247416.2	2.630057847	-3.336513634	1.606632037	-2.076712998	0.037828056	0.125319973
ENSG00000250006.2	2.698592218	-3.335818232	1.353661378	-2.464292981	0.013728384	0.060281313
ENSG00000102128.7	4.193138645	-3.327107159	1.586944464	-2.096549208	0.0360335	0.121194218
ENSG00000272721.4	4.847357038	-3.326908908	1.304906318	-2.549538508	0.01078656	0.050487063
ENSG00000276916.1	3.472627383	-3.325375724	1.367015463	-2.432580914	0.014991641	0.064420309
ENSG00000252212.1	2.535860466	-3.321910909	1.417024691	-2.344285834	0.019063555	0.076860495
ENSG00000226010.1	2.678469539	-3.315279305	1.644538954	-2.015932366	0.043807049	0.139045883
ENSG00000260493.1	2.60658725	-3.3126889	1.599829841	-2.070650774	0.038391444	0.126761275
ENSG00000165171.9	4.260753145	-3.311257395	1.464900601	-2.260397322	0.023796603	0.090162387
ENSG00000261080.1	3.42363376	-3.309199905	1.520643035	-2.176184567	0.029541462	0.105219268
ENSG00000205277.8	3.711100245	-3.307497735	1.266528046	-2.611468215	0.009015437	0.044268633
ENSG00000221507.1	2.579561949	-3.302150399	1.349877219	-2.446259818	0.014434694	0.062594345
ENSG00000197934.7	2.591816803	-3.301301923	1.563369483	-2.111658158	0.03471578	0.117909313
ENSG00000223946.1	5.784168356	-3.298124082	1.039932884	-3.171477826	0.001516654	0.01123253
ENSG00000236426.4	10.58139934	-3.294537503	0.955231628	-3.448940976	0.00056279	0.00506917
ENSG00000147059.8	10.85015965	-3.294472323	0.921158471	-3.576444691	0.000348299	0.003444774
ENSG00000179270.6	2.536558114	-3.292472117	1.324216206	-2.486355401	0.012905901	0.057500505
ENSG00000232403.1	2.591891346	-3.289581599	1.847663491	-1.780400822	0.075010387	0.201755304
ENSG00000249487.5	2.646923879	-3.289358835	1.464634911	-2.245855817	0.024713245	0.092801989
ENSG00000275963.1	4.049248329	-3.288490423	1.255859719	-2.618517317	0.008831281	0.043526648
ENSG00000238188.1	5.529415096	-3.285936198	1.115969485	-2.944467784	0.003235106	0.020258852
ENSG00000249846.5	6.227591182	-3.273550016	1.078480199	-3.035336225	0.002402677	0.016095015
ENSG00000270632.1	2.605625512	-3.270535034	1.754027041	-1.864586439	0.062239395	0.177494207
ENSG00000227192.1	2.54692166	-3.270394169	1.691669807	-1.933234343	0.053207336	0.159648945
ENSG00000280119.1	5.288607603	-3.268873131	1.014242766	-3.222969134	0.001268692	0.009833869
